NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=16727.775s, table=0, n_packets=10261, n_bytes=431522, idle_age=11642, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=1, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=2, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=3, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=4, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=5, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=6, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=7, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=8, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.775s, table=9, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=10, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=11, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=12, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=13, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=14, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=15, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=16, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=17, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=18, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=19, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=20, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=21, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=22, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
 cookie=0x0, duration=16727.774s, table=23, n_packets=0, n_bytes=0, idle_age=16727, priority=0 actions=CONTROLLER:65535
